FiscalYear,FiscalYearType,AccountName,AgencyName,OperatingUnit,Category,Sector,Amount
2014,FY 2014 Request,Global Health Programs - USAID,DOS and USAID,Bureau for Global Health (USAID),Health,Family Planning and Reproductive Health,101900000
2013,FY 2013 Actual Base,International Military Education and Training,DOS and USAID,Zambia,Peace and Security,Stabilization Operations and Security Sector Reform,395000
2013,FY 2013 Actual Base,Economic Support Fund,DOS and USAID,South Sudan,Economic Development,Macroeconomic Foundation for Growth,18000000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Indonesia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,879000
2010,FY 2010 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Niger,Peace and Security,Counterterrorism,842000
2015,FY 2015 Request,Global Health Programs - USAID,DOS and USAID,Timor-Leste,Health,Maternal and Child Health,1000000
2008,FY 2008 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Turkmenistan,Economic Development,Agriculture,585000
2009,FY 2009 Actual Base,Global Health Programs - State,DOS and USAID,Latin America and Caribbean Regional Office (USAID),Health,HIV/AIDS,1088000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,Peru,"Democracy, Human Rights, and Governance",Good Governance,3820000
2008,FY 2008 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),Health,HIV/AIDS,130000
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Afghanistan,Economic Development,Macroeconomic Foundation for Growth,8200000
2009,FY 2009 Supp,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,"Democracy, Human Rights, and Governance",Civil Society,6500000
2006,FY 2006 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Egypt,Peace and Security,Counterterrorism,750000
2014,FY 2014 Request,Development Assistance,DOS and USAID,Laos,Economic Development,Trade and Investment,2000000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,Indonesia,"Democracy, Human Rights, and Governance",Civil Society,1137000
2012,FY 2012 Actual Base,N/A,DoD,Azerbaijan,Peace and Security,Combating Weapons of Mass Destruction (WMD),20480000
2012,FY 2012 Actual Base,Global Health Programs - USAID,DOS and USAID,Bureau for Global Health (USAID),Health,Family Planning and Reproductive Health,107800000
2007,FY 2007 Actual Base,Global Health Programs - State,DOS and USAID,Rwanda,Health,HIV/AIDS,91861000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,Dominican Republic,"Democracy, Human Rights, and Governance",Good Governance,1832000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Macedonia,"Democracy, Human Rights, and Governance",Civil Society,4513000
2007,FY 2007 Actual Base,Economic Support Fund,DOS and USAID,Lebanon,Humanitarian Assistance,"Protection, Assistance and Solutions",18640000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Madagascar,Health,Water Supply and Sanitation,1350000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Morocco,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,1000000
2015,FY 2015 Request,Development Assistance,DOS and USAID,Latin America and Caribbean Regional Office (USAID),"Democracy, Human Rights, and Governance",Civil Society,3000000
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kosovo,"Democracy, Human Rights, and Governance",Good Governance,6400000
2010,FY 2010 Actual Base,Economic Support Fund,DOS and USAID,Near East Regional Democracy (DOS),Program Management,Monitoring and Evaluation,200000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,Ghana,"Democracy, Human Rights, and Governance",Good Governance,5108000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Morocco,Economic Development,Trade and Investment,565000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,"Bureau for Economic Growth, Agriculture and Trade (USAID)",Peace and Security,Transnational Crime,800000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Colombia,"Democracy, Human Rights, and Governance",Good Governance,2400000
2010,FY 2010 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Malta,Peace and Security,Counterterrorism,400000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Colombia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,11604000
2014,FY 2014 Request,Development Assistance,DOS and USAID,Africa Regional Office (USAID),Economic Development,Financial Sector,804000
2013,FY 2013 Actual Base,Economic Support Fund,DOS and USAID,Albania,"Democracy, Human Rights, and Governance",Good Governance,3765000
2009,FY 2009 Supp,Economic Support Fund,DOS and USAID,Zimbabwe,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,100000
2014,FY 2014 Request,Foreign Military Financing,DOS and USAID,Uzbekistan,Peace and Security,Stabilization Operations and Security Sector Reform,1500000
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,South Africa,Peace and Security,Stabilization Operations and Security Sector Reform,798000
2011,FY 2011 Actual Base,N/A,DoD,Belize,Peace and Security,Counter-Narcotics,13114000
2009,FY 2009 Actual Base,Global Health Programs - State,DOS and USAID,Guyana,Health,HIV/AIDS,17759000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Afghanistan,Health,Family Planning and Reproductive Health,21000000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,"Sudan, Pre-2011 Election","Democracy, Human Rights, and Governance",Good Governance,2000000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,Morocco,Education and Social Services,Basic Education,4299000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,Guinea,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2100000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Serbia,"Democracy, Human Rights, and Governance",Civil Society,2314000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Ukraine,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,1580000
2008,FY 2008 Actual Base,International Military Education and Training,DOS and USAID,Bolivia,Peace and Security,Stabilization Operations and Security Sector Reform,179000
2009,FY 2009 Supp,International Disaster Assistance,DOS and USAID,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Humanitarian Assistance,"Protection, Assistance and Solutions",270000000
2007,FY 2007 Actual Base,Development Assistance,DOS and USAID,Afghanistan,Economic Development,Infrastructure,5500000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Guinea,Program Management,Direct Administrative Costs,1017000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Moldova,Program Management,Monitoring and Evaluation,235000
2013,FY 2013 Actual Base,Food for Peace Title II,DOS and USAID,Djibouti,Humanitarian Assistance,"Protection, Assistance and Solutions",3623000
2008,FY 2008 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Health,Tuberculosis,204000
2009,FY 2009 Actual Base,Food for Peace Title II,DOS and USAID,Georgia,Humanitarian Assistance,"Protection, Assistance and Solutions",1841000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,African Union (DOS),Environment,Environment,500000
2008,FY 2008 Actual Base,Migration and Refugee Assistance,DOS and USAID,"Bureau of Population, Refugees, and Migration (DOS)",Humanitarian Assistance,Migration Management,57210000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Ecuador,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,1027000
2006,FY 2006 Actual Base,International Military Education and Training,DOS and USAID,Democratic Republic of Congo,Peace and Security,Stabilization Operations and Security Sector Reform,306000
2012,FY 2012 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Morocco,Peace and Security,Combating Weapons of Mass Destruction (WMD),2500000
2008,FY 2008 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kazakhstan,Health,Maternal and Child Health,250000
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Egypt,Peace and Security,Combating Weapons of Mass Destruction (WMD),330000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,"Bureau for Economic Growth, Agriculture and Trade (USAID)",Environment,Environment,36992000
2012,FY 2012 Actual Base,Foreign Military Financing,DOS and USAID,Czech Republic,Peace and Security,Stabilization Operations and Security Sector Reform,5000000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Caribbean Regional Office (USAID),Economic Development,Trade and Investment,230000
2013,FY 2013 Actual Base,Food for Peace Title II,DOS and USAID,Democratic Republic of Congo,Health,Maternal and Child Health,3933000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,Asia Middle East Regional Office (USAID),Education and Social Services,Basic Education,2183000
2013,FY 2013 Foreign Military Financing Base - OCO,Economic Support Fund - OCO,DOS and USAID,Middle East Regional Office (USAID),"Democracy, Human Rights, and Governance",Good Governance,1000000
2013,FY 2013 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Mozambique,Peace and Security,Transnational Crime,299000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Mongolia,Economic Development,Economic Opportunity,1600000
2015,FY 2015 Request,International Military Education and Training,DOS and USAID,Czech Republic,Peace and Security,Stabilization Operations and Security Sector Reform,1800000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Sierra Leone,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2000000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Armenia,Education and Social Services,Social Services,725000
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Morocco,Peace and Security,Counterterrorism,694000
2008,FY 2008 Actual Base,International Military Education and Training,DOS and USAID,Kyrgyz Republic,Peace and Security,Stabilization Operations and Security Sector Reform,992000
2012,FY 2012 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Azerbaijan,Peace and Security,Combating Weapons of Mass Destruction (WMD),500000
2013,FY 2013 Actual Base,Economic Support Fund,DOS and USAID,Macedonia,Economic Development,Private Sector Competitiveness,4053000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Mozambique,Environment,Environment,7500000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Ambassador-at-Large for Global Women’s Issues (DOS),Education and Social Services,Social Services,2000000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Mexico,Education and Social Services,Higher Education,2045000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Paraguay,Economic Development,Trade and Investment,900000
2008,FY 2008 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,"Sudan, Pre-2011 Election","Democracy, Human Rights, and Governance",Rule of Law and Human Rights,1850000
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Environment,Environment,281000
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Sierra Leone,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,4500000
2012,FY 2012 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Europe Regional Office (DOS & USAID),Peace and Security,Stabilization Operations and Security Sector Reform,40000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Africa Regional Office (USAID),"Democracy, Human Rights, and Governance",Good Governance,1100000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Economic Development,Financial Sector,2150000
2011,FY 2011 Actual Base,Global Health Programs - State,DOS and USAID,Thailand,Health,HIV/AIDS,500000
2010,FY 2010 Actual Base,Food for Peace Title II,DOS and USAID,Niger,Health,Nutrition,2100000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Bureau of Oceans and International Environmental and Scientific Affairs (DOS),Education and Social Services,Higher Education,500000
2009,FY 2009 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Ukraine,Peace and Security,Combating Weapons of Mass Destruction (WMD),800000
2009,FY 2009 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,West Bank and Gaza,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2000000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Dominican Republic,"Democracy, Human Rights, and Governance",Good Governance,519000
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Education and Social Services,"Social Policies, Regulations, and Systems",1028000
2008,FY 2008 Actual Base,Democracy Fund,DOS and USAID,"Bureau of Democracy, Human Rights and Labor (DOS)","Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2961000
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Tajikistan,Economic Development,Private Sector Competitiveness,965000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,"Bureau for Policy, Planning and Learning (USAID)",Education and Social Services,Social Assistance,5219000
2007,FY 2007 Actual Base,Economic Support Fund,DOS and USAID,Timor-Leste,Economic Development,Agriculture,1625000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Malawi,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,200000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Maldives,Program Management,Monitoring and Evaluation,40000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Burma,Economic Development,Private Sector Competitiveness,500000
2015,FY 2015 Request,Food for Peace Title II,DOS and USAID,Malawi,Health,Nutrition,3250000
2008,FY 2008 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Ukraine,"Democracy, Human Rights, and Governance",Civil Society,9287000
2012,FY 2012 Actual Base,Global Health Programs - USAID,DOS and USAID,Madagascar,Health,HIV/AIDS,500000
2015,FY 2015 Request,International Military Education and Training,DOS and USAID,Yemen,Peace and Security,Stabilization Operations and Security Sector Reform,1200000
2013,FY 2013 Actual Base,International Assistance Programs,Treasury,International Organizations and Development Institutions (US Treasury) - Asian Development Bank (AsDB),Multi-Sector,International Contributions,101189977
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Ukraine,Health,Maternal and Child Health,530000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,West Bank and Gaza,Economic Development,Trade and Investment,22000000
2015,FY 2015 Request,Global Health Programs - USAID,DOS and USAID,Latin America and Caribbean Regional Office (USAID),Health,Maternal and Child Health,1750000
2007,FY 2007 Actual Base,International Military Education and Training,DOS and USAID,Russia,Peace and Security,Stabilization Operations and Security Sector Reform,99000
2013,FY 2013 Foreign Military Financing Base - OCO,Antiterrorism Assistance - OCO,DOS and USAID,Somalia,Peace and Security,Counterterrorism,2000000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,Egypt,Environment,Environment,5506000
2012,FY 2012 Foreign Military Financing Base - OCO,Complex Crises Fund - OCO,DOS and USAID,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Peace and Security,Conflict Mitigation and Reconciliation,40000000
2010,FY 2010 Actual Base,Food for Peace Title II,DOS and USAID,Madagascar,Health,Water Supply and Sanitation,3307000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Ukraine,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,1520000
2009,FY 2009 Actual Base,Global Health Programs - USAID,DOS and USAID,Zambia,Health,Maternal and Child Health,8800000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Macedonia,"Democracy, Human Rights, and Governance",Good Governance,340000
2011,FY 2011 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Egypt,Peace and Security,Counterterrorism,4600000
2015,FY 2015 Request,Development Assistance,DOS and USAID,Timor-Leste,Economic Development,Agriculture,1500000
2015,FY 2015 Request,International Organizations and Programs,DOS and USAID,International Organizations (DOS) - WTO Technical Assistance,Economic Development,Trade and Investment,1000000
2007,FY 2007 Actual Base,International Military Education and Training,DOS and USAID,Benin,Peace and Security,Stabilization Operations and Security Sector Reform,183000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Nigeria,"Democracy, Human Rights, and Governance",Good Governance,3546000
2012,FY 2012 Actual Base,International Organizations and Programs,DOS and USAID,International Organizations (DOS) - UNVFVT UN Voluntary Fund for Victims of Torture,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,6000000
2015,FY 2015 Request,International Narcotics Control and Law Enforcement,DOS and USAID,Kosovo,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,3300000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,South Africa,Economic Development,Private Sector Competitiveness,6037000
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),Economic Development,Private Sector Competitiveness,2273000
2008,FY 2008 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Russia,Peace and Security,Conflict Mitigation and Reconciliation,4844000
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Jordan,Education and Social Services,Basic Education,49000000
2009,FY 2009 Actual Base,Food for Peace Title II,DOS and USAID,Zimbabwe,Humanitarian Assistance,"Protection, Assistance and Solutions",165884000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Dominican Republic,Economic Development,Financial Sector,495000
2014,FY 2014 Request,Development Assistance,DOS and USAID,Cambodia,Environment,Environment,7500000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bosnia and Herzegovina,Economic Development,Trade and Investment,2070000
2013,FY 2013 Actual Base,Global Health Programs - USAID,DOS and USAID,Angola,Health,HIV/AIDS,4400000
2010,FY 2010 Actual Base,Food for Peace Title II,DOS and USAID,Mozambique,Health,Nutrition,5824000
2011,FY 2011 Actual Base,International Military Education and Training,DOS and USAID,Tanzania,Peace and Security,Stabilization Operations and Security Sector Reform,455000
2009,FY 2009 Actual Base,Global Health Programs - USAID,DOS and USAID,Yemen,Health,Maternal and Child Health,2000000
2012,FY 2012 Actual Base,Global Health Programs - USAID,DOS and USAID,South Sudan,Health,Malaria,6300000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Moldova,Humanitarian Assistance,"Protection, Assistance and Solutions",400000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Brazil,Economic Development,Economic Opportunity,483000
2006,FY 2006 Actual Base,Global Health Programs - USAID,DOS and USAID,Kenya,Health,Family Planning and Reproductive Health,8898000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Democratic Republic of Congo,Peace and Security,Stabilization Operations and Security Sector Reform,1001000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Ukraine,Humanitarian Assistance,"Protection, Assistance and Solutions",1000000
2014,FY 2014 Request,International Military Education and Training,DOS and USAID,Cote d'Ivoire,Peace and Security,Stabilization Operations and Security Sector Reform,280000
2013,FY 2013 Actual Base,Economic Support Fund,DOS and USAID,Georgia,Environment,Environment,2004000
2007,FY 2007 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,South Africa,Peace and Security,Counterterrorism,100000
2006,FY 2006 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Tanzania,Peace and Security,Counterterrorism,2701000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Honduras,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,500000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Colombia,"Democracy, Human Rights, and Governance",Good Governance,4864000
2011,FY 2011 Actual Base,USAID Administrative Expense,DOS and USAID,USAID Operating Expense,Program Management,Direct Administrative Costs,1347300000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,India,Health,Water Supply and Sanitation,1000000
2013,FY 2013 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Tajikistan,Peace and Security,Counterterrorism,641000
2014,FY 2014 Request,International Military Education and Training,DOS and USAID,Mongolia,Peace and Security,Stabilization Operations and Security Sector Reform,850000
2015,FY 2015 Request,Global Health Programs - USAID,DOS and USAID,Bureau for Global Health (USAID),Health,Pandemic Influenza and Other Emerging Threats ,50000000
2008,FY 2008 Second Supp,Economic Support Fund,DOS and USAID,West Bank and Gaza,"Democracy, Human Rights, and Governance",Civil Society,10500000
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Haiti,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,4000000
2006,FY 2006 Actual Base,Global Health Programs - USAID,DOS and USAID,East Africa Regional Office (USAID),Health,Maternal and Child Health,1681000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Peace and Security,Conflict Mitigation and Reconciliation,8732000
2014,FY 2014 Request,International Narcotics Control and Law Enforcement,DOS and USAID,Turkmenistan,Peace and Security,Counter-Narcotics,260000
2008,FY 2008 Actual Base,Global Health Programs - State,DOS and USAID,Office of the Global AIDS Coordinator (DOS),Health,HIV/AIDS,1119416000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,Senegal,"Democracy, Human Rights, and Governance",Good Governance,2900000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kazakhstan,Economic Development,Trade and Investment,1025000
2014,FY 2014 Request,Development Assistance,DOS and USAID,Uganda,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,1350000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,Latin America and Caribbean Regional Office (USAID),"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,1147000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Haiti,Economic Development,Private Sector Competitiveness,3000000
2014,FY 2014 Request,Development Assistance,DOS and USAID,Guatemala,Education and Social Services,Basic Education,9000000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Tajikistan,Economic Development,Agriculture,11545000
2012,FY 2012 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Economic Development,Infrastructure,4509000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Kosovo,Peace and Security,Conflict Mitigation and Reconciliation,3800000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Malawi,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,477000
2006,FY 2006 Actual Base,Food for Peace Title II,DOS and USAID,Chad,Humanitarian Assistance,"Protection, Assistance and Solutions",23475000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Cambodia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,7776000
2007,FY 2007 Actual Base,Development Assistance,DOS and USAID,Cambodia,Economic Development,Economic Opportunity,1227000
2010,FY 2010 Actual Base,Foreign Military Financing,DOS and USAID,Ecuador,Peace and Security,Stabilization Operations and Security Sector Reform,500000
2007,FY 2007 Actual Base,Economic Support Fund,DOS and USAID,Afghanistan,Peace and Security,Transnational Crime,385000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,Ghana,Environment,Environment,1974000
2007,FY 2007 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Mexico,Peace and Security,Combating Weapons of Mass Destruction (WMD),1070000
2014,FY 2014 Request,Complex Crises Fund,DOS and USAID,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Peace and Security,Conflict Mitigation and Reconciliation,40000000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kosovo,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,8700000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,Office of Science and Technology (USAID),Economic Development,Financial Sector,612000
