FiscalYear,QTR,FiscalYearType,AccountName,AgencyName,OperatingUnit,BenefitingCountry,Category,Sector,Amount
2012,2,Obligations,Development Assistance,USAID,Tanzania,Tanzania,Program Management,Direct Administrative Costs,101414
2013,4,Obligations,Global Health & Child Survival,USAID,Ukraine,Ukraine,Health,Tuberculosis,1550000
2012,4,Obligations,Global Health & Child Survival,USAID,Kyrgyz Republic,Kosovo,Health,HIV/AIDS,200000
2011,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Kenya,Program Management,Direct Administrative Costs,-4357.81
2011,4,Obligations,Democracy Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Jamaica,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,250000
2011,1,Obligations,Economic Support Fund,USAID,Burma,Burma,Education and Social Services,Higher Education,13.44
2013,4,Obligations,Economic Support Fund,USAID,Iraq,Iraq,"Democracy, Human Rights, and Governance",Civil Society,9000015
2012,3,Obligations,N/A,DOS,State Africa Regional,State Africa Regional,,Multi-Sector - Unspecified,5849659.47
2009,3,Obligations,Special Assistance Initiatives,USAID,Serbia,Serbia,Program Management,Monitoring and Evaluation,377666.99
2010,4,Obligations,Development Assistance,USAID,Honduras,Honduras,Economic Development,Agriculture,7451101
2011,2,Obligations,Global Health & Child Survival,USAID,USAID Latin America and Caribbean Regional,Latin America and Caribbean Region,Health,Maternal and Child Health,2985
2013,4,Obligations,N/A,USAID,Morocco,Morocco,Program Management,Direct Administrative Costs,-23634.06
2009,3,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Armenia,Armenia,Economic Development,Private Sector Competitiveness,350000
2009,3,Obligations,Global Health & Child Survival,USAID,Rwanda,Rwanda,Health,Family Planning and Reproductive Health,150000
2011,1,Obligations,N/A,USAID,Burundi,Burundi,Multi-Sector,Multi-Sector - Unspecified,959550
2013,4,Obligations,Global Health & Child Survival,USAID,Central Asia Region,Central Asia Region,Program Management,Direct Administrative Costs,208000
2013,2,Obligations,N/A,USAID,Malawi,Malawi,Environment,Natural Resources and Biodiversity,832.97
2010,4,Obligations,Development Assistance,USAID,Rwanda,Rwanda,Environment,Natural Resources and Biodiversity,1950000
2009,4,Obligations,Development Assistance,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of","Democracy, Human Rights, and Governance",Good Governance,539076
2014,2,Obligations,N/A,Peace Corps,Morocco,Morocco,,Education and Social Services - General,1399439.61
2012,0,Obligations,N/A,DoD,Timor-Leste,Timor-Leste,Health,HIV/AIDS,100000
2012,2,Obligations,Global Health & Child Survival,USAID,Bangladesh,Bangladesh,Health,Tuberculosis,1800000
2010,4,Obligations,Development Assistance,USAID,Asia Middle East Regional,Egypt,Program Management,Direct Administrative Costs,56717.7
2011,1,Obligations,N/A,Peace Corps,Azerbaijan,Azerbaijan,,Education and Social Services - General,1561036.04
2011,1,Obligations,Global Health & Child Survival,USAID,USAID Caribbean Regional,Caribbean Region,Health,HIV/AIDS,1667653
2009,3,Obligations,Economic Support Fund,USAID,Ecuador,Ecuador,Peace and Security,Counter-Narcotics,3302
2012,3,Obligations,Development Assistance,USAID,USAID Latin America and Caribbean Regional,Latin America and Caribbean Region,Program Management,Direct Administrative Costs,133
2013,2,Obligations,Transition Initiatives,USAID,Mali,Mali,Peace and Security,Conflict Mitigation and Reconciliation,975075
2011,4,Obligations,Global Health & Child Survival,USAID,South Africa,South Africa,Health,Tuberculosis,13972000
2012,4,Obligations,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Uzbekistan,Humanitarian Assistance,"Protection, Assistance and Solutions",150000
2013,4,Obligations,Global Health & Child Survival,USAID,Kazakhstan,Kazakhstan,Health,HIV/AIDS,-644.9500000000001
2009,1,Obligations,Economic Support Fund,USAID,Timor-Leste,Timor-Leste,Economic Development,Private Sector Competitiveness,29789
2013,4,Obligations,Global Health & Child Survival,USAID,Dominican Republic,Dominican Republic,Health,HIV/AIDS,2682.95
2011,1,Obligations,N/A,Peace Corps,Romania,Romania,,Environment - General,161126.66
2009,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Joint Eurasia Regional,Ukraine,"Democracy, Human Rights, and Governance",Civil Society,350000
2012,4,Obligations,Development Assistance,USAID,Panama,Panama,Program Management,Monitoring and Evaluation,-66550.32000000001
2010,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Ukraine,Ukraine,Health,Family Planning and Reproductive Health,2054260
2010,4,Obligations,Global Health & Child Survival,USAID,Swaziland,Swaziland,Health,HIV/AIDS,19651363
2013,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Georgia,Georgia,Economic Development,Infrastructure,30027
2011,2,Obligations,Development Assistance,USAID,USAID Central America Regional,Central American Region,Environment,Clean Productive Environment,-70795
2013,3,Obligations,Global Health & Child Survival,USAID,Liberia,Liberia,Program Management,Monitoring and Evaluation,381258.92
2011,3,Obligations,N/A,USAID,Mozambique,Mozambique,Health,HIV/AIDS,7542390
2013,2,Obligations,Global Health & Child Survival,USAID,Zimbabwe,Zimbabwe,Health,Malaria,9078262
2009,1,Obligations,N/A,MCC,Moldova,Moldova,Multi-Sector,Multi-Sector - Unspecified,120612.46
2013,4,Obligations,N/A,USAID,Indonesia,Indonesia,"Democracy, Human Rights, and Governance",Good Governance,897067.48
2011,2,Obligations,Development Assistance,USAID,Afghanistan,Afghanistan,Environment,Natural Resources and Biodiversity,0
2011,2,Obligations,Global Health & Child Survival,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Program Management,Monitoring and Evaluation,651000
2012,1,Obligations,Economic Support Fund,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election","Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,-14353
2011,3,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Joint Eurasia Regional,Eastern European Region,Program Management,Direct Administrative Costs,476060.51
2011,2,Obligations,Global Health & Child Survival,USAID,Ethiopia,Ethiopia,Health,Malaria,300000
2012,2,Obligations,N/A,MCC,MCC - General Office,MCC - General Office,Program Management,Direct Administrative Costs,21106272.48
2011,1,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Madagascar,Humanitarian Assistance,"Protection, Assistance and Solutions",2000000
2013,1,Obligations,N/A,Peace Corps,Rwanda,Rwanda,,Economic Development - General,21866.03
2014,2,Obligations,Economic Support Fund,USAID,Liberia,Liberia,Program Management,Direct Administrative Costs,794765.5600000001
2010,3,Obligations,Operating Expenses,USAID,Ukraine,Worldwide,Program Management,Direct Administrative Costs,2884123.03
2012,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Serbia,Serbia,Program Management,Monitoring and Evaluation,132217.94
2011,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Russia,Russia,Health,Maternal and Child Health,280000
2012,4,Obligations,Global Health & Child Survival,USAID,Ecuador,Ecuador,Health,Water Supply and Sanitation,9172.33
2010,3,Obligations,Special Assistance Initiatives,USAID,Montenegro,Montenegro,Economic Development,Private Sector Competitiveness,-42477.13
2010,2,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Armenia,Armenia,Economic Development,Trade and Investment,232397
2013,2,Obligations,Economic Support Fund,USAID,Egypt,Egypt,Economic Development,Private Sector Competitiveness,7429186.03
2010,4,Obligations,Development Assistance,USAID,Ghana,Ghana,Economic Development,Agriculture,26020000
2013,1,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Eurasia Region,Eurasia Region,Program Management,Direct Administrative Costs,-10661.96
2012,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Serbia,Serbia,Program Management,Direct Administrative Costs,1660214.85
2013,2,Obligations,Democracy Fund,USAID,Sri Lanka,Sri Lanka,Program Management,Direct Administrative Costs,-3046.32
2009,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Turkmenistan,Turkmenistan,Program Management,Monitoring and Evaluation,-641.85
2012,4,Obligations,Operating Expenses,USAID,West Bank and Gaza,Worldwide,Program Management,Direct Administrative Costs,7965203.76
2012,1,Obligations,Development Assistance,USAID,USAID Regional Development Mission-Asia,East Asia Region,Peace and Security,Transnational Crime,600000
2013,3,Obligations,International Disaster Assistance,USAID,Paraguay,Paraguay,Humanitarian Assistance,Disaster Readiness,391822
2011,4,Obligations,Economic Support Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Peru,Program Management,Monitoring and Evaluation,120000
2011,2,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,"Democracy, Human Rights, and Governance",Civil Society,269131.47
2012,4,Obligations,Development Assistance,USAID,USAID Latin America and Caribbean Regional,Latin America and Caribbean Region,"Democracy, Human Rights, and Governance",Civil Society,1360518
2012,3,Obligations,Operating Expenses,USAID,Ukraine,Worldwide,Program Management,Direct Administrative Costs,2034292.59
2013,4,Obligations,N/A,USAID,Kenya,Kenya,Economic Development,Economic Opportunity,500000
2009,2,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Venezuela,"Democracy, Human Rights, and Governance",Civil Society,5665
2009,2,Obligations,Development Assistance,USAID,Zambia,Zambia,Education and Social Services,Social Assistance,40000
2010,3,Obligations,Special Assistance Initiatives,USAID,Kosovo,Kosovo,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,-1941.83
2009,3,Obligations,Development Assistance,USAID,USAID Caribbean Regional,Caribbean Region,Environment,Clean Productive Environment,-176200
2010,4,Obligations,Economic Support Fund,USAID,Mexico,Mexico,Program Management,Direct Administrative Costs,514471.44
2014,2,Obligations,Global Health & Child Survival,USAID,Georgia,Georgia,Program Management,Direct Administrative Costs,15408
2010,4,Obligations,Development Assistance,USAID,Yemen,Yemen,Program Management,Direct Administrative Costs,579462
2012,1,Obligations,N/A,Peace Corps,Moldova,Moldova,,Multi-Sector - Unspecified,108465.92
2010,2,Obligations,N/A,MCC,Senegal,Senegal,Program Management,Direct Administrative Costs,492046
2013,4,Obligations,Economic Support Fund,USAID,Liberia,Liberia,Program Management,Monitoring and Evaluation,450000
2012,2,Obligations,Economic Support Fund,USAID,USAID Regional Development Mission-Asia,East Asia Region,Peace and Security,Conflict Mitigation and Reconciliation,134804.6
2010,4,Obligations,Development Assistance,USAID,Djibouti,Djibouti,Program Management,Direct Administrative Costs,967000
2014,2,Obligations,Development Fund for Africa,USAID,Nigeria,Nigeria,Program Management,Direct Administrative Costs,98357.92
2012,3,Obligations,Operating Expenses,USAID,Egypt,Worldwide,Program Management,Direct Administrative Costs,3466256.54
2009,1,Obligations,Economic Support Fund,USAID,Philippines,Philippines,Economic Development,Infrastructure,-1000.02
2010,1,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Russia,Russia,Program Management,Monitoring and Evaluation,4300
2012,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Swaziland,Humanitarian Assistance,Disaster Readiness,-1154.77
2011,,Obligations,N/A,IAF,Costa Rica,Costa Rica,,Agriculture,243000
2010,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Azerbaijan,Azerbaijan,Economic Development,Financial Sector,1350000
2012,1,Obligations,Economic Support Fund,USAID,USAID Regional Development Mission-Asia,Timor-Leste,Program Management,Direct Administrative Costs,-483.25
2011,3,Obligations,N/A,MCC,Philippines,Philippines,Education and Social Services,Basic Education,-10000
2009,3,Obligations,Development Assistance,USAID,Bolivia,Bolivia,"Democracy, Human Rights, and Governance",Good Governance,21676
2013,2,Obligations,Economic Support Fund,USAID,Morocco,Morocco,Program Management,Direct Administrative Costs,80000
2013,4,Obligations,N/A,USDA,Mauritania,Mauritania,,Agriculture,5160000
2013,4,Obligations,N/A,USAID,Dominican Republic,Dominican Republic,Program Management,Monitoring and Evaluation,23147.14
2011,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",South Africa,Humanitarian Assistance,Disaster Readiness,25000
2013,3,Obligations,Economic Support Fund,USAID,South Sudan,South Sudan,Economic Development,Private Sector Competitiveness,949500
2013,1,Obligations,International Disaster Assistance,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Program Management,Direct Administrative Costs,-9750.389999999999
2009,3,Obligations,Global Health & Child Survival,USAID,Guyana,Guyana,Health,HIV/AIDS,17595
2014,1,Obligations,N/A,Peace Corps,Paraguay,Paraguay,,Economic Development - General,661613.25
2010,4,Obligations,Development Assistance,USAID,Panama,Panama,Environment,Natural Resources and Biodiversity,1820000
2012,4,Obligations,Development Assistance,USAID,"USAID Economic Growth, Education and Environment",Worldwide,Economic Development,Macroeconomic Foundation for Growth,99115.75
2013,3,Obligations,Global Health & Child Survival,USAID,South Sudan,South Sudan,Health,Tuberculosis,30000
2013,2,Obligations,Economic Support Fund,USAID,Indonesia,Indonesia,"Democracy, Human Rights, and Governance",Good Governance,543207
2013,3,Obligations,Gifts and Donations,USAID,Zambia,Zambia,Health,Malaria,9775453
2013,0,Obligations,N/A,DoD,Libya,Libya,Peace and Security,Counterterrorism,8411216
2013,1,Obligations,Economic Support Fund,USAID,Morocco,Morocco,Program Management,Direct Administrative Costs,-9521.360000000001
2009,3,Obligations,N/A,MCC,Ghana,Ghana,Education and Social Services,Social Services,-15104129
2011,2,Obligations,Economic Support Fund,USAID,Benin,Benin,Education and Social Services,"Social Policies, Regulations, and Systems",300000
2011,2,Obligations,Economic Support Fund,USAID,Mexico,Mexico,Program Management,Direct Administrative Costs,127473.24
2008,2,Obligations,N/A,MCC,Madagascar,Madagascar,Economic Development,Financial Sector,1962397
2012,4,Obligations,Economic Support Fund,USAID,USAID Operating Expense,Worldwide,Economic Development,Infrastructure,474.08
2013,2,Obligations,Global Health & Child Survival,USAID,Cambodia,Cambodia,Health,Family Planning and Reproductive Health,400000
2012,2,Obligations,N/A,USAID,Burundi,Burundi,Humanitarian Assistance,"Protection, Assistance and Solutions",1389500
2012,,Obligations,N/A,IAF,Argentina,Argentina,,Social Services,218737
2014,1,Obligations,N/A,Peace Corps,Panama,Panama,,Multi-Sector - Unspecified,-845.85
2011,3,Obligations,Operating Expenses,USAID,USAID Africa Regional,Worldwide,Program Management,Direct Administrative Costs,3595998.66
2009,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Georgia,Georgia,Health,Other Public Health Threats,22627.5
2013,2,Obligations,Global Health & Child Survival,USAID,Dominican Republic,Dominican Republic,Program Management,Direct Administrative Costs,362214.01
2012,4,Obligations,Economic Support Fund,USAID,Jordan,Jordan,Education and Social Services,Basic Education,47348000
2011,2,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Georgia,Georgia,Program Management,Monitoring and Evaluation,20617.23
2012,1,Obligations,Global Health & Child Survival,USAID,India,India,Program Management,Monitoring and Evaluation,1300000
2012,1,Obligations,N/A,Peace Corps,Cameroon,Cameroon,,Multi-Sector - Unspecified,34903.28
2013,4,Obligations,N/A,USAID,Eurasia Region,Eurasia Region,Economic Development,Financial Sector,200000
2010,4,Obligations,Development Assistance,USAID,Comoros,Comoros,"Democracy, Human Rights, and Governance",Civil Society,-2253.68
2013,4,Obligations,N/A,USAID,Latin America and Caribbean Region,Latin America and Caribbean Region,Education and Social Services,Higher Education,7884574
2010,4,Obligations,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance","Congo, Democratic Republic of",Humanitarian Assistance,"Protection, Assistance and Solutions",2971474
2012,3,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Costa Rica,Education and Social Services,Higher Education,-14643.24
2011,3,Obligations,Global Health & Child Survival,USAID,Liberia,Liberia,Health,Malaria,500000
2011,4,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Program Management,Direct Administrative Costs,1041195.15
2011,3,Obligations,Global Health & Child Survival,USAID,El Salvador,Worldwide,Health,Family Planning and Reproductive Health,147894.3
2014,2,Obligations,N/A,Peace Corps,Morocco,Morocco,,Health - General,135753.31
2013,1,Obligations,N/A,USAID,Ethiopia,Ethiopia,Economic Development,Agriculture,11884935.32
2013,2,Obligations,Economic Support Fund,USAID,Caribbean Region,Caribbean Region,Education and Social Services,Basic Education,250000
2014,1,Obligations,N/A,MCC,Jordan,Jordan,Multi-Sector,Multi-Sector - Unspecified,-5104.56
2009,4,Obligations,N/A,MCC,Lesotho,Lesotho,Multi-Sector,Multi-Sector - Unspecified,1117562.2
2011,4,Obligations,N/A,USAID,Pakistan,Pakistan,Humanitarian Assistance,"Protection, Assistance and Solutions",38731000
2010,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Kyrgyz Republic,Kosovo,Economic Development,Agriculture,998977.1
2009,3,Obligations,N/A,MCC,MCC - General Office,MCC - General Office,Multi-Sector,Multi-Sector - Unspecified,2784512.78
2007,2,Obligations,N/A,MCC,Madagascar,Madagascar,Multi-Sector,Multi-Sector - Unspecified,495663.06
2012,3,Obligations,Development Assistance,USAID,Office of Innovation and Development Alliances (USAID),Worldwide,Economic Development,Financial Sector,601818
2010,3,Obligations,Development Assistance,USAID,Timor-Leste,Timor-Leste,Program Management,Direct Administrative Costs,257019.85
2010,2,Obligations,Operating Expenses,USAID,Kazakhstan,Worldwide,Program Management,Direct Administrative Costs,-15417.7
2011,3,Obligations,Development Assistance,USAID,Bangladesh,Bangladesh,Health,Water Supply and Sanitation,-177000
2009,1,Obligations,Special Assistance Initiatives,USAID,Serbia,Serbia,Economic Development,Private Sector Competitiveness,-171.41
2014,2,Obligations,Gifts and Donations,USAID,Turkmenistan,Turkmenistan,Economic Development,Financial Sector,250000
2012,1,Obligations,Operating Expenses,USAID,Angola,Worldwide,Program Management,Direct Administrative Costs,218610.36
2011,4,Obligations,Development Assistance,USAID,USAID Africa Regional,Africa Region,Economic Development,Economic Opportunity,1000000
2010,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Solomon Islands,Humanitarian Assistance,"Protection, Assistance and Solutions",75000
2012,2,Obligations,Child Survival and Health Programs Fund,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Program Management,Monitoring and Evaluation,-4699.64
2013,4,Obligations,Global Health & Child Survival,USAID,Bangladesh,Bangladesh,Health,Tuberculosis,2100372.43
2013,4,Obligations,Commodity Credit Corp Title II and III,USAID,Guatemala,Guatemala,Economic Development,Agriculture,136557
2013,0,Obligations,N/A,DoD,Lebanon,Lebanon,Health,HIV/AIDS,450000
2013,4,Obligations,Andean Counterdrug Initiative,USAID,Peru,Peru,Program Management,Direct Administrative Costs,-107569.48
2012,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Nicaragua,Program Management,Direct Administrative Costs,2351
2011,3,Obligations,Development Assistance,USAID,USAID Office of Development Partners,Iraq,Program Management,Monitoring and Evaluation,-352.5
2012,4,Obligations,Operating Expenses,USAID,Kenya,Worldwide,Program Management,Direct Administrative Costs,3558892.54
2012,1,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Philippines,Program Management,Direct Administrative Costs,10131
2013,3,Obligations,Economic Support Fund,USAID,Pakistan,Pakistan,"Democracy, Human Rights, and Governance",Good Governance,19639503.48
2013,3,Obligations,N/A,USAID,Tajikistan,Tajikistan,Economic Development,Private Sector Competitiveness,1540477
2013,2,Obligations,Economic Support Fund,USAID,Nicaragua,Nicaragua,Economic Development,Macroeconomic Foundation for Growth,500000
2011,4,Obligations,Development Assistance,USAID,Asia Middle East Regional,Sri Lanka,Program Management,Direct Administrative Costs,58333.44
2010,4,Obligations,Development Assistance,USAID,Liberia,Liberia,Economic Development,Economic Opportunity,-2778.77
2010,2,Obligations,Development Assistance,USAID,Comoros,Comoros,Health,Water Supply and Sanitation,-490.94
2009,,Obligations,N/A,IAF,Brazil,Brazil,,Private Sector Competitiveness,50287
2013,4,Obligations,Global Health & Child Survival,USAID,Nigeria,Nigeria,Health,Malaria,6500000
2008,2,Obligations,N/A,MCC,Ghana,Ghana,Economic Development,Economic Opportunity,337716
2009,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Iraq,Humanitarian Assistance,"Protection, Assistance and Solutions",19320429
2013,2,Obligations,Global Health & Child Survival,USAID,Burundi,Burundi,Health,HIV/AIDS,2914724
2009,4,Obligations,Global Health & Child Survival,USAID,USAID Operating Expense,Worldwide,Health,HIV/AIDS,2.01
2010,1,Obligations,N/A,MCC,Mozambique,Mozambique,Program Management,Direct Administrative Costs,-967906
2014,1,Obligations,N/A,MCC,Senegal,Senegal,Economic Development,Private Sector Competitiveness,25000
2013,1,Obligations,Global Health & Child Survival,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Health,Nutrition,1740000
2011,4,Obligations,Development Assistance,USAID,Peru,Peru,Program Management,Monitoring and Evaluation,109000
